timestamp,open,high,low,close,volume,session,incomplete
2026-07-28T08:00:00+00:00,737.0,737.36,736.54,737.29,1055,pre-market,False
2026-07-28T08:01:00+00:00,737.36,738.12,736.16,736.9,32717,pre-market,False
2026-07-28T08:02:00+00:00,736.71,738.08,736.35,737.85,17346,pre-market,False
2026-07-28T08:03:00+00:00,737.75,737.93,737.69,737.73,1263,pre-market,False
2026-07-28T08:04:00+00:00,737.75,737.78,737.65,737.7,1072,pre-market,False
2026-07-28T08:05:00+00:00,737.68,737.82,737.68,737.76,2090,pre-market,False
2026-07-28T08:06:00+00:00,737.72,737.98,737.23,737.98,918,pre-market,False
2026-07-28T08:07:00+00:00,737.69,737.69,737.44,737.5,516,pre-market,False
2026-07-28T08:08:00+00:00,737.47,737.57,737.4,737.4,304,pre-market,False
2026-07-28T08:09:00+00:00,737.25,737.29,737.2,737.2,222,pre-market,False
2026-07-28T08:10:00+00:00,737.2,737.23,736.95,736.95,769,pre-market,False
2026-07-28T08:11:00+00:00,736.94,736.97,736.88,736.92,919,pre-market,False
2026-07-28T08:12:00+00:00,736.9,736.9,736.9,736.9,156,pre-market,False
2026-07-28T08:13:00+00:00,736.9,736.95,736.88,736.9,751,pre-market,False
2026-07-28T08:14:00+00:00,736.9,736.9,736.83,736.83,147,pre-market,False
2026-07-28T08:15:00+00:00,736.91,737.37,736.84,737.37,432,pre-market,False
2026-07-28T08:16:00+00:00,737.62,737.63,737.39,737.39,120,pre-market,False
2026-07-28T08:17:00+00:00,737.53,737.6,737.5,737.5,3490,pre-market,False
2026-07-28T08:18:00+00:00,737.5,737.72,737.5,737.72,212,pre-market,False
2026-07-28T08:19:00+00:00,737.77,737.92,737.77,737.92,247,pre-market,False
2026-07-28T08:20:00+00:00,738.05,738.06,738.05,738.06,500,pre-market,False
2026-07-28T08:21:00+00:00,738.16,738.22,738.14,738.14,531,pre-market,False
2026-07-28T08:22:00+00:00,738.0,738.0,738.0,738.0,40,pre-market,False
2026-07-28T08:23:00+00:00,738.0,738.0,738.0,738.0,0,pre-market,False
2026-07-28T08:24:00+00:00,738.45,738.74,738.39,738.74,3642,pre-market,False
2026-07-28T08:25:00+00:00,738.57,738.57,738.4,738.41,1121,pre-market,False
2026-07-28T08:26:00+00:00,738.32,738.32,738.32,738.32,70,pre-market,False
2026-07-28T08:27:00+00:00,738.32,738.32,738.32,738.32,0,pre-market,False
2026-07-28T08:28:00+00:00,738.46,738.46,738.34,738.37,826,pre-market,False
2026-07-28T08:29:00+00:00,738.52,738.52,738.52,738.52,67,pre-market,False
2026-07-28T08:30:00+00:00,738.49,738.49,738.2,738.24,387,pre-market,False
2026-07-28T08:31:00+00:00,738.3,738.3,738.3,738.3,60,pre-market,False
2026-07-28T08:32:00+00:00,738.27,738.27,738.23,738.27,168,pre-market,False
2026-07-28T08:33:00+00:00,738.24,738.26,738.24,738.26,526,pre-market,False
2026-07-28T08:34:00+00:00,738.28,738.55,738.27,738.55,240,pre-market,False
2026-07-28T08:35:00+00:00,738.57,738.57,738.56,738.57,100,pre-market,False
2026-07-28T08:36:00+00:00,738.47,738.47,738.47,738.47,128,pre-market,False
2026-07-28T08:37:00+00:00,738.33,738.47,738.33,738.47,381,pre-market,False
2026-07-28T08:38:00+00:00,738.64,738.68,738.57,738.68,4160,pre-market,False
2026-07-28T08:39:00+00:00,738.68,738.68,738.68,738.68,0,pre-market,False
2026-07-28T08:40:00+00:00,738.62,738.76,738.61,738.75,721,pre-market,False
2026-07-28T08:41:00+00:00,738.87,738.9,738.81,738.9,1771,pre-market,False
2026-07-28T08:42:00+00:00,738.87,738.87,738.75,738.75,354,pre-market,False
2026-07-28T08:43:00+00:00,738.82,738.9,738.81,738.89,477,pre-market,False
2026-07-28T08:44:00+00:00,738.81,738.81,738.76,738.76,107,pre-market,False
2026-07-28T08:45:00+00:00,738.78,738.78,738.78,738.78,137,pre-market,False
2026-07-28T08:46:00+00:00,738.78,738.78,738.78,738.78,0,pre-market,False
2026-07-28T08:47:00+00:00,738.74,739.06,738.73,738.93,2453,pre-market,False
2026-07-28T08:48:00+00:00,738.93,738.94,738.93,738.94,180,pre-market,False
2026-07-28T08:49:00+00:00,738.86,738.9,738.85,738.9,371,pre-market,False
2026-07-28T08:50:00+00:00,738.9,738.9,738.9,738.9,0,pre-market,False
2026-07-28T08:51:00+00:00,739.0,739.0,738.99,739.0,400,pre-market,False
2026-07-28T08:52:00+00:00,738.76,738.76,738.75,738.75,280,pre-market,False
2026-07-28T08:53:00+00:00,738.71,738.71,738.7,738.7,193,pre-market,False
2026-07-28T08:54:00+00:00,738.57,738.58,738.55,738.58,558,pre-market,False
2026-07-28T08:55:00+00:00,738.52,738.53,738.35,738.35,872,pre-market,False
2026-07-28T08:56:00+00:00,738.4,738.48,738.4,738.48,486,pre-market,False
2026-07-28T08:57:00+00:00,738.47,738.47,738.37,738.38,327,pre-market,False
2026-07-28T08:58:00+00:00,738.43,738.43,738.43,738.43,250,pre-market,False
2026-07-28T08:59:00+00:00,738.45,738.52,738.4,738.45,1606,pre-market,False
2026-07-28T09:00:00+00:00,738.45,738.51,738.39,738.5,517,pre-market,False
2026-07-28T09:01:00+00:00,738.53,738.62,738.45,738.62,1495,pre-market,False
2026-07-28T09:02:00+00:00,738.62,738.62,738.62,738.62,0,pre-market,False
