timestamp,open,high,low,close,volume,session,incomplete
2026-07-27T08:00:00+00:00,744.23,745.79,744.1,744.98,7919,pre-market,False
2026-07-27T08:01:00+00:00,745.03,746.0,744.18,745.27,18530,pre-market,False
2026-07-27T08:02:00+00:00,745.67,745.76,744.75,745.09,7649,pre-market,False
2026-07-27T08:03:00+00:00,745.1,745.14,744.99,745.03,1186,pre-market,False
2026-07-27T08:04:00+00:00,744.94,745.01,744.9,744.92,1218,pre-market,False
2026-07-27T08:05:00+00:00,744.94,745.05,744.91,745.02,1134,pre-market,False
2026-07-27T08:06:00+00:00,745.01,745.06,744.99,745.04,1261,pre-market,False
2026-07-27T08:07:00+00:00,745.08,745.24,745.08,745.24,2111,pre-market,False
2026-07-27T08:08:00+00:00,745.24,745.24,745.15,745.16,301,pre-market,False
2026-07-27T08:09:00+00:00,745.12,745.21,745.11,745.2,1439,pre-market,False
2026-07-27T08:10:00+00:00,745.22,745.23,745.19,745.22,215,pre-market,False
2026-07-27T08:11:00+00:00,745.23,745.23,745.23,745.23,40,pre-market,False
2026-07-27T08:12:00+00:00,745.07,745.07,745.07,745.07,80,pre-market,False
2026-07-27T08:13:00+00:00,745.07,745.07,745.07,745.07,0,pre-market,False
2026-07-27T08:14:00+00:00,745.17,745.32,745.17,745.31,1097,pre-market,False
2026-07-27T08:15:00+00:00,745.3,745.32,745.27,745.27,221,pre-market,False
2026-07-27T08:16:00+00:00,745.12,745.26,745.12,745.24,585,pre-market,False
2026-07-27T08:17:00+00:00,745.23,745.3,745.23,745.3,80,pre-market,False
2026-07-27T08:18:00+00:00,745.27,745.32,745.27,745.32,834,pre-market,False
2026-07-27T08:19:00+00:00,745.36,745.43,745.36,745.43,140,pre-market,False
2026-07-27T08:20:00+00:00,745.45,745.47,745.45,745.45,198,pre-market,False
2026-07-27T08:21:00+00:00,745.38,745.38,745.38,745.38,73,pre-market,False
2026-07-27T08:22:00+00:00,745.36,745.36,745.36,745.36,40,pre-market,False
2026-07-27T08:23:00+00:00,745.37,745.37,745.37,745.37,50,pre-market,False
2026-07-27T08:24:00+00:00,745.35,745.35,745.35,745.35,40,pre-market,False
2026-07-27T08:25:00+00:00,745.35,745.35,745.35,745.35,0,pre-market,False
2026-07-27T08:26:00+00:00,745.39,745.39,745.39,745.39,54,pre-market,False
2026-07-27T08:27:00+00:00,745.42,745.42,745.42,745.42,240,pre-market,False
2026-07-27T08:28:00+00:00,745.44,745.51,745.42,745.49,435,pre-market,False
2026-07-27T08:29:00+00:00,745.51,745.65,745.51,745.63,275,pre-market,False
2026-07-27T08:30:00+00:00,745.67,745.67,745.59,745.59,229,pre-market,False
2026-07-27T08:31:00+00:00,745.59,745.59,745.58,745.59,200,pre-market,False
2026-07-27T08:32:00+00:00,745.69,745.71,745.69,745.71,205,pre-market,False
2026-07-27T08:33:00+00:00,745.71,745.74,745.68,745.74,450,pre-market,False
2026-07-27T08:34:00+00:00,745.72,745.72,745.72,745.72,136,pre-market,False
2026-07-27T08:35:00+00:00,745.72,745.72,745.72,745.72,0,pre-market,False
2026-07-27T08:36:00+00:00,745.64,745.65,745.64,745.64,144,pre-market,False
2026-07-27T08:37:00+00:00,745.55,745.62,745.55,745.62,86,pre-market,False
2026-07-27T08:38:00+00:00,745.57,745.57,745.57,745.57,100,pre-market,False
2026-07-27T08:39:00+00:00,745.71,745.72,745.65,745.65,200,pre-market,False
2026-07-27T08:40:00+00:00,745.72,745.72,745.69,745.69,324,pre-market,False
2026-07-27T08:41:00+00:00,745.76,745.76,745.76,745.76,50,pre-market,False
2026-07-27T08:42:00+00:00,745.95,746.07,745.95,746.03,3651,pre-market,False
2026-07-27T08:43:00+00:00,745.99,745.99,745.94,745.96,225,pre-market,False
2026-07-27T08:44:00+00:00,745.95,746.03,745.95,746.03,881,pre-market,False
2026-07-27T08:45:00+00:00,746.06,746.06,745.97,745.97,680,pre-market,False
2026-07-27T08:46:00+00:00,745.92,745.93,745.92,745.92,270,pre-market,False
2026-07-27T08:47:00+00:00,745.89,745.89,745.89,745.89,40,pre-market,False
2026-07-27T08:48:00+00:00,745.89,745.89,745.89,745.89,0,pre-market,False
2026-07-27T08:49:00+00:00,745.94,745.96,745.94,745.96,4271,pre-market,False
2026-07-27T08:50:00+00:00,745.95,745.97,745.92,745.93,5913,pre-market,False
2026-07-27T08:51:00+00:00,745.93,745.94,745.87,745.87,536,pre-market,False
2026-07-27T08:52:00+00:00,745.88,745.96,745.88,745.96,500,pre-market,False
2026-07-27T08:53:00+00:00,745.85,745.87,745.85,745.87,340,pre-market,False
2026-07-27T08:54:00+00:00,745.91,746.11,745.9,746.11,6280,pre-market,False
2026-07-27T08:55:00+00:00,746.08,746.08,746.08,746.08,280,pre-market,False
2026-07-27T08:56:00+00:00,746.06,746.06,745.91,745.91,754,pre-market,False
2026-07-27T08:57:00+00:00,746.02,746.11,746.01,746.11,381,pre-market,False
2026-07-27T08:58:00+00:00,746.04,746.04,746.04,746.04,45,pre-market,False
2026-07-27T08:59:00+00:00,746.04,746.04,746.02,746.02,255,pre-market,False
2026-07-27T09:00:00+00:00,746.04,746.04,745.78,745.78,237,pre-market,False
2026-07-27T09:01:00+00:00,745.82,745.82,745.82,745.82,80,pre-market,False
2026-07-27T09:02:00+00:00,745.86,745.89,745.86,745.88,1810,pre-market,False
2026-07-27T09:03:00+00:00,745.88,745.88,745.88,745.88,0,pre-market,False
2026-07-27T09:04:00+00:00,745.88,745.88,745.88,745.88,0,pre-market,False
2026-07-27T09:05:00+00:00,745.88,745.88,745.88,745.88,0,pre-market,False
2026-07-27T09:06:00+00:00,745.88,745.89,745.88,745.89,191,pre-market,False
2026-07-27T09:07:00+00:00,745.89,745.89,745.89,745.89,0,pre-market,False
2026-07-27T09:08:00+00:00,745.83,745.85,745.8,745.85,236,pre-market,False
2026-07-27T09:09:00+00:00,745.81,745.81,745.81,745.81,140,pre-market,False
2026-07-27T09:10:00+00:00,745.83,745.83,745.83,745.83,49,pre-market,False
2026-07-27T09:11:00+00:00,745.83,745.83,745.83,745.83,0,pre-market,False
2026-07-27T09:12:00+00:00,745.86,745.86,745.86,745.86,74,pre-market,False
2026-07-27T09:13:00+00:00,745.86,745.86,745.86,745.86,0,pre-market,False
2026-07-27T09:14:00+00:00,745.84,745.84,745.84,745.84,40,pre-market,False
2026-07-27T09:15:00+00:00,745.8,745.82,745.8,745.82,134,pre-market,False
2026-07-27T09:16:00+00:00,745.82,745.82,745.82,745.82,0,pre-market,False
2026-07-27T09:17:00+00:00,745.87,745.87,745.86,745.86,177,pre-market,False
2026-07-27T09:18:00+00:00,745.89,745.89,745.89,745.89,45,pre-market,False
2026-07-27T09:19:00+00:00,745.79,745.82,745.79,745.82,118,pre-market,False
2026-07-27T09:20:00+00:00,745.84,745.86,745.84,745.86,124,pre-market,False
2026-07-27T09:21:00+00:00,745.86,745.94,745.86,745.94,166,pre-market,False
2026-07-27T09:22:00+00:00,746.04,746.04,746.01,746.01,624,pre-market,False
2026-07-27T09:23:00+00:00,745.99,746.0,745.98,746.0,240,pre-market,False
2026-07-27T09:24:00+00:00,745.95,745.95,745.95,745.95,226,pre-market,False
2026-07-27T09:25:00+00:00,745.95,745.95,745.95,745.95,0,pre-market,False
2026-07-27T09:26:00+00:00,746.04,746.09,746.04,746.06,241,pre-market,False
2026-07-27T09:27:00+00:00,746.06,746.06,746.06,746.06,0,pre-market,False
2026-07-27T09:28:00+00:00,746.05,746.05,745.93,745.93,356,pre-market,False
2026-07-27T09:29:00+00:00,745.93,745.93,745.93,745.93,0,pre-market,False
2026-07-27T09:30:00+00:00,745.89,745.89,745.8,745.83,299,pre-market,False
2026-07-27T09:31:00+00:00,745.86,745.86,745.86,745.86,53,pre-market,False
2026-07-27T09:32:00+00:00,745.97,746.0,745.96,746.0,400,pre-market,False
2026-07-27T09:33:00+00:00,746.0,746.0,746.0,746.0,0,pre-market,False
2026-07-27T09:34:00+00:00,745.93,745.96,745.93,745.96,140,pre-market,False
2026-07-27T09:35:00+00:00,745.96,745.96,745.96,745.96,0,pre-market,False
2026-07-27T09:36:00+00:00,745.96,745.96,745.96,745.96,0,pre-market,False
2026-07-27T09:37:00+00:00,746.13,746.2,746.09,746.17,1667,pre-market,False
2026-07-27T09:38:00+00:00,746.07,746.07,746.0,746.0,1179,pre-market,False
2026-07-27T09:39:00+00:00,746.07,746.07,746.07,746.07,100,pre-market,False
2026-07-27T09:40:00+00:00,746.18,746.19,746.16,746.19,166,pre-market,False
2026-07-27T09:41:00+00:00,746.16,746.17,746.14,746.17,193,pre-market,False
2026-07-27T09:42:00+00:00,746.11,746.21,746.11,746.21,492,pre-market,False
2026-07-27T09:43:00+00:00,746.19,746.25,746.17,746.25,1690,pre-market,False
2026-07-27T09:44:00+00:00,746.29,746.35,746.25,746.32,2101,pre-market,False
2026-07-27T09:45:00+00:00,746.33,746.33,746.27,746.27,192,pre-market,False
2026-07-27T09:46:00+00:00,746.3,746.36,746.3,746.34,444,pre-market,False
2026-07-27T09:47:00+00:00,746.38,746.39,746.38,746.39,750,pre-market,False
2026-07-27T09:48:00+00:00,746.45,746.53,746.45,746.46,1432,pre-market,False
2026-07-27T09:49:00+00:00,746.45,746.51,746.45,746.5,140,pre-market,False
2026-07-27T09:50:00+00:00,746.43,746.46,746.43,746.46,740,pre-market,False
2026-07-27T09:51:00+00:00,746.43,746.49,746.43,746.48,833,pre-market,False
2026-07-27T09:52:00+00:00,746.45,746.48,746.45,746.48,200,pre-market,False
2026-07-27T09:53:00+00:00,746.47,746.48,746.44,746.48,302,pre-market,False
2026-07-27T09:54:00+00:00,746.44,746.47,746.44,746.47,129,pre-market,False
2026-07-27T09:55:00+00:00,746.43,746.43,746.43,746.43,44,pre-market,False
2026-07-27T09:56:00+00:00,746.43,746.43,746.43,746.43,0,pre-market,False
2026-07-27T09:57:00+00:00,746.42,746.44,746.35,746.35,131,pre-market,False
2026-07-27T09:58:00+00:00,746.34,746.39,746.34,746.39,648,pre-market,False
2026-07-27T09:59:00+00:00,746.39,746.39,746.39,746.39,0,pre-market,False
2026-07-27T10:00:00+00:00,746.35,746.4,746.35,746.4,342,pre-market,False
2026-07-27T10:01:00+00:00,746.36,746.43,746.33,746.38,1860,pre-market,False
2026-07-27T10:02:00+00:00,746.38,746.38,746.38,746.38,0,pre-market,False
2026-07-27T10:03:00+00:00,746.42,746.43,746.42,746.43,226,pre-market,False
2026-07-27T10:04:00+00:00,746.41,746.41,746.36,746.36,249,pre-market,False
2026-07-27T10:05:00+00:00,746.36,746.36,746.36,746.36,0,pre-market,False
2026-07-27T10:06:00+00:00,746.4,746.4,746.39,746.4,360,pre-market,False
2026-07-27T10:07:00+00:00,746.32,746.38,746.32,746.38,186,pre-market,False
2026-07-27T10:08:00+00:00,746.35,746.35,746.31,746.33,195,pre-market,False
2026-07-27T10:09:00+00:00,746.3,746.31,746.29,746.3,1664,pre-market,False
2026-07-27T10:10:00+00:00,746.21,746.21,746.08,746.08,684,pre-market,False
2026-07-27T10:11:00+00:00,746.0,746.0,746.0,746.0,77,pre-market,False
2026-07-27T10:12:00+00:00,746.03,746.03,746.0,746.0,260,pre-market,False
2026-07-27T10:13:00+00:00,746.12,746.14,746.12,746.13,108,pre-market,False
